id,name,adresse
1,"Centre Hospitalier Universitaire de Bordeaux","Place Amélie Raba Léon, 33000 Bordeaux"
2,"Hôpital Saint-Louis","1 Avenue Claude Vellefaux, 75010 Paris"
3,"Centre Hospitalier Universitaire de Strasbourg","1 Place de l'Hôpital, 67091 Strasbourg"
4,"Centre Hospitalier Universitaire de Montpellier","191 Avenue du Doyen Gaston Giraud, 34295 Montpellier"
5,"Hôpital Necker-Enfants Malades","149 Rue de Sèvres, 75015 Paris"
6,"Centre Hospitalier Universitaire de Toulouse","Place du Docteur Baylac, 31059 Toulouse"
7,"Hôpital de la Timone","264 Rue Saint-Pierre, 13385 Marseille"
8,"Centre Hospitalier Universitaire de Nice","5 Rue Pierre Dévoluy, 06006 Nice"
9,"Centre Hospitalier Universitaire de Nantes","5 Allée de l'Île Gloriette, 44093 Nantes"
10,"Hôpital de la Pitié-Salpêtrière","47-83 Boulevard de l'Hôpital, 75013 Paris"
11,"Centre Hospitalier Universitaire de Rennes","2 Rue Henri Le Guilloux, 35033 Rennes"
12,"Centre Hospitalier Universitaire de Lille","2 Avenue Oscar Lambret, 59037 Lille"
13,"Centre Hospitalier Universitaire de Grenoble","Boulevard de la Chantourne, 38700 La Tronche"
14,"Hôpital Bichat-Claude Bernard","46 Rue Henri Huchard, 75018 Paris"
15,"Centre Hospitalier Universitaire de Clermont-Ferrand","58 Rue Montalembert, 63003 Clermont-Ferrand"
16,"Centre Hospitalier Universitaire de Dijon","14 Rue Paul Gaffarel, 21079 Dijon"
17,"Centre Hospitalier Universitaire de Lyon","3 Quai des Célestins, 69002 Lyon"
18,"Centre Hospitalier Universitaire de Rouen","1 Rue de Germont, 76031 Rouen"
19,"Centre Hospitalier Universitaire de Caen","Avenue de la Côte de Nacre, 14033 Caen"
20,"Centre Hospitalier Universitaire de Limoges","2 Avenue Martin Luther King, 87042 Limoges"
